uid,title,company,domain,p_rnd,topic_id,topic_prob
in-04ebd629c6723400|msp crime scene technician i,MSP CRIME SCENE TECHNICIAN I,State of Maryland,bio,0.6646999418735501,31,0.16270103708176864
in-4e03157d77a378e9|lead lab tech,Lead Lab Tech,Johns Hopkins Health System,bio,0.832150737444559,33,1.0
in-ad1580b6ba963fba|laboratory manager (molecular microbiology & immunology),Laboratory Manager (Molecular Microbiology & Immunology),Johns Hopkins University,bio,0.9700001875559481,-1,0.00514358784728577
in-91e8058272040d24|bioinformatician,Bioinformatician,ATCC,bio,0.840090612570444,-1,0.35011192582212686
in-6a63ea7fed683552|genomic characterization scientist,Genomic Characterization Scientist,Alaka`ina Foundation Family of Companies,bio,0.9635550181070961,39,0.13253947230270496
li-4115490199|immunology/cell biology scientist,Immunology/Cell Biology Scientist,Alaka`ina Foundation Family of Companies,bio,0.9634012778600051,39,1.0
li-4270268782|director of quality control,Director of Quality Control,Made Scientific,bio,0.8132825096448261,3,0.3745827421582652
li-3948212981|research technologist - life sciences - biochemistry and molecular biology,Research Technologist - Life Sciences - Biochemistry and Molecular Biology,Penn State University,bio,0.8223305940628051,18,1.0
in-63f2c9f150e2daa7|bioengineer iii (assistant vaccine manager),Bioengineer III (Assistant Vaccine Manager),"Goldbelt, Inc.",bio,0.807989567518234,42,0.8226423547098881
in-8089ae8fb42a11bf|biocurator,Biocurator,Alaka`ina Foundation Family of Companies,bio,0.932233154773712,39,1.0
li-4230636852|part-time undergraduate laboratory technologist - biomarker core lab,Part-Time Undergraduate Laboratory Technologist - Biomarker Core Lab,Penn State University,bio,0.726935118436813,21,0.32481959286040074
"in-d7645d4851d978f1|expert science & technology, product sciences – cell therapy analytical development","Expert Science & Technology, Product Sciences – Cell Therapy Analytical Development",Novartis,bio,0.9708843827247621,-1,0.021891408961923594
in-ab2bf9c1915afdee|assoc. expert - technical development cell therapy pd,Assoc. Expert - Technical Development Cell Therapy PD,Novartis,bio,0.781747420628865,-1,0.020673014617492082
in-69ad7fa8806dde5e|wetland/permitting specialist - environmental scientist,Wetland/Permitting Specialist - Environmental Scientist,Dewberry,bio,0.5240208009878791,20,0.7519295567246885
in-fde5e73950283f7e|research specialist - center for discovery & innovation,Research Specialist - Center for Discovery & Innovation,Hackensack Meridian Health,bio,0.9038046995798741,-1,0.003402503555663682
in-8729d2ccad06e3ad|post doctoral associate,Post Doctoral Associate,University of Pittsburgh,bio,0.940258940060933,16,1.0
in-f0333004fca92b5d|summer 2026 intern - manufacturing technology data science and digital transformation,Summer 2026 Intern - Manufacturing Technology Data Science and Digital Transformation,Sanofi,bio,0.5608747601509091,-1,0.020645824754166958
in-9e5e4608576397cf|senior therapeutics discovery technician,Senior Therapeutics Discovery Technician,"Eagle Health, LLC",bio,0.9913079341252641,53,1.0
in-6bdb604694a02051|medical laboratory scientist i,Medical Laboratory Scientist I,Quest Diagnostics,bio,0.9825802048047381,12,0.17618736760067907
in-2e402b6a3cb5278b|principal project manager – cgt,Principal Project Manager – CGT,GenScript ProBio,bio,0.8361719648043311,7,0.5056725863336748
"in-87843dec5172ec98|postdoctoral fellow – translational cancer research laboratory, shreiber school of veterinary medicine of rowan university","Postdoctoral Fellow – Translational Cancer Research Laboratory, Shreiber School of Veterinary Medicine of Rowan University",Rowan University,bio,0.9217608769734701,-1,0.06039206102916163
